year,team_name,team_grade
2019,AIR FORCE,93.7
2019,AKRON,58.6
2019,ALABAMA,95.6
2019,APP STATE,92.1
2019,ARIZONA,72.1
2019,ARIZONA ST,74.8
2019,ARKANSAS,68.9
2019,ARK STATE,80
2019,ARMY,82.3
2019,AUBURN,86.6
2019,BALL ST,78.5
2019,BAYLOR,83.7
2019,BOISE ST,90.9
2019,BOSTON COL,77.7
2019,BOWL GREEN,60.7
2019,BUFFALO,89.4
2019,BYU,87.8
2019,CAL,76.7
2019,C MICHIGAN,80
2019,CHARLOTTE,81.4
2019,CINCINNATI,81.2
2019,CLEMSON,93.2
2019,COAST CAR,72.3
2019,COLORADO,73.2
2019,COLO STATE,76.7
2019,UCONN,68.8
2019,DUKE,72.1
2019,E CAROLINA,74.3
2019,E MICHIGAN,77.6
2019,FLORIDA,85.5
2019,FAU,85.4
2019,FIU,81.1
2019,FLORIDA ST,75.8
2019,FRESNO ST,75.2
2019,GEORGIA,94.1
2019,GA SOUTHRN,75.6
2019,GA STATE,75.6
2019,GA TECH,61.2
2019,HAWAII,76.8
2019,HOUSTON,73.7
2019,ILLINOIS,74.6
2019,INDIANA,79.4
2019,IOWA,91.7
2019,IOWA STATE,86
2019,KANSAS,68.4
2019,KANSAS ST,84
2019,KENT STATE,78.1
2019,KENTUCKY,86.1
2019,LIBERTY,83.1
2019,LA LAFAYET,90.5
2019,LA TECH,85.6
2019,LA MONROE,76
2019,LOUISVILLE,81.9
2019,LSU,93.4
2019,MARSHALL,86.3
2019,MARYLAND,70.6
2019,UMASS,49
2019,MEMPHIS,91
2019,MIAMI FL,77.4
2019,MIAMI OH,79.5
2019,MICH STATE,90.9
2019,MICHIGAN,76.8
2019,MIDDLE TN,68.1
2019,MINNESOTA,91.8
2019,OLE MISS,73.1
2019,MISS STATE,74.7
2019,MISSOURI,81.6
2019,NAVY,84.6
2019,NEBRASKA,68.8
2019,NEVADA,73.8
2019,NEW MEXICO,72.3
2019,NEW MEX ST,61.3
2019,N CAROLINA,86.2
2019,NC STATE,69.8
2019,N TEXAS,78.3
2019,N ILLINOIS,75.2
2019,NWESTERN,73.8
2019,NOTRE DAME,92.4
2019,OHIO,84.6
2019,OHIO STATE,96.6
2019,OKLAHOMA,91.9
2019,OKLA STATE,84.9
2019,DOMINION,69.2
2019,OREGON,91.7
2019,OREGON ST,81.7
2019,PENN STATE,91.5
2019,PITTSBURGH,79.2
2019,PURDUE,69.4
2019,RICE,71.9
2019,RUTGERS,63.4
2019,S DIEGO ST,90.6
2019,S JOSE ST,78.1
2019,SMU,83.5
2019,S ALABAMA,65.5
2019,S CAROLINA,75.3
2019,SO MISS,80.7
2019,STANFORD,75.2
2019,SYRACUSE,73.2
2019,TCU,83.6
2019,TEMPLE,86.9
2019,TENNESSEE,83.5
2019,TEXAS,86
2019,TEXAS A&M,78.5
2019,TEXAS TECH,77.4
2019,TEXAS ST,77.6
2019,TOLEDO,73
2019,TROY,77.5
2019,TULANE,78.5
2019,TULSA,73.9
2019,UAB,87.5
2019,UCF,86.4
2019,UCLA,72.6
2019,UNLV,72.1
2019,USC,82.8
2019,USF,70.9
2019,UTAH,91.9
2019,UTAH ST,77.7
2019,UTEP,64.4
2019,UTSA,62.8
2019,VANDERBILT,57.5
2019,VIRGINIA,80.7
2019,VA TECH,83.9
2019,WAKE,85.9
2019,WASHINGTON,91.6
2019,WASH STATE,79.8
2019,W VIRGINIA,75.4
2019,W KENTUCKY,87.2
2019,W MICHIGAN,82.2
2019,WISCONSIN,91.6
2019,WYOMING,73.3
