year,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
2018,Preston Williams,38855,WR,COLO STATE,12,166,0,144,12.6,5,65.3,53.8,7,13,5.9,2,24,0,74.1,89.9,2,69,0,0,125,32,90.4,113,114.9,49,29.5,5,487,166,5.2,15.2,4.31,0,14.5,6,57.5,33.3,5,15,10.3,7,38,1,61.5,73.7,2,58,0,0,375,61,96,360,93.9,106,63.9,6,836,207,3.4,13.7,2.32
2018,Trevon Brown,28281,WR,E CAROLINA,12,163,0,156,17.2,4,35,26.1,6,23,12.5,3,17,0,55.4,71.7,3,80,0,0,206,21,93.7,193,64.9,60,36.8,4,465,151,7.2,22.1,2.41,0,13.8,5,54.3,33.3,9,27,7.3,4,32,1,70.9,72.4,3,46,0,0,377,51,95.2,359,76,94,57.7,4,627,158,3.1,12.3,1.75
2018,Rondale Moore,62890,WR,PURDUE,13,154,0,273,4.7,10,71.4,50,2,4,3.2,1,18,0,80.5,78.3,0,43,0,0,151,30,88.7,134,123.9,42,27.3,4,308,227,7.6,10.3,2.3,0,6.5,26,73.8,33.3,2,6,7.3,6,35,1,76.3,88,4,70,0,0,342,76,95,325,104.5,103,66.9,6,932,626,8.2,12.3,2.87
2018,Tylan Wallace,61577,WR,OKLA STATE,13,149,0,262,15.8,1,52.8,60,9,15,9.5,2,17,0,63.6,84.5,1,36,0,0,113,19,93.8,106,106.4,36,24.2,5,279,45,2.4,14.7,2.63,0,17.9,8,60.8,54.5,12,22,8.8,6,47,2,62.5,80.1,5,56,0,0,401,62,93.5,375,94.6,102,68.5,5,1126,245,4,18.2,3
2018,Andy Isabella,47448,WR,UMASS,12,146,0,216,14.2,7,64.1,36.4,4,11,0,0,18,1,88.3,90.3,1,53,0,0,117,25,94,110,107.6,39,26.7,2,428,154,6.2,17.1,3.89,0,11.5,9,73,45.5,5,11,7.6,6,46,0,72.6,92.4,1,89,0,0,289,73,94.1,272,139.4,100,68.5,9,1216,540,7.4,16.7,4.47
2018,John Ursua,26586,WR,HAWAII,13,145,0,180,11.4,5,68.4,71.4,5,7,10.3,3,15,0,60.5,70.8,0,80,0,0,164,26,92.7,152,145.5,38,26.2,7,427,177,6.8,16.4,2.81,0,12.9,12,59.6,33.3,3,9,13.8,9,38,1,45.4,68.1,2,70,0,0,401,56,97.3,390,96.3,94,64.8,4,886,364,6.5,15.8,2.27
2018,James Proche II,48037,WR,SMU,12,143,0,287,11.5,1,51.2,16.7,1,6,0,0,16,0,86.7,76.7,4,50,0,0,137,21,89.1,122,42.5,41,28.7,1,287,103,4.9,13.7,2.35,0,9.8,11,68.5,54.5,6,11,4.7,3,35,1,75.3,83,0,67,0,0,319,61,97.8,312,118.4,89,62.2,5,865,436,7.1,14.2,2.77
2018,Tyre Brady,41818,WR,MARSHALL,13,143,0,214,11.2,1,47.1,66.7,4,6,15.8,3,12,1,49.2,74.6,0,32,0,0,100,16,93,93,99.4,34,23.8,3,234,64,4,14.6,2.52,0,13.9,5,53.6,29.4,5,17,10.3,6,32,0,61.2,74.6,5,50,0,0,345,52,96.8,334,67.6,97,67.8,3,746,245,4.7,14.3,2.23
2018,Jalen Reagor,61697,WR,TCU,13,131,0,305,15.4,7,61.5,53.8,7,13,0,0,12,1,84.2,84.4,0,65,0,0,86,16,97.7,84,143.1,26,19.8,4,313,120,7.5,19.6,3.73,0,12.1,4,54.1,58.3,7,12,8.6,5,29,0,67,73.7,4,67,0,0,303,53,98,297,74.7,98,74.8,4,727,304,5.7,13.7,2.45
2018,Dillon Mitchell,42338,WR,OREGON,13,130,0,264,14.6,7,52.5,26.1,6,23,6.1,2,26,0,72.7,86.8,0,57,0,0,157,31,93,146,117.4,59,45.4,6,533,179,5.8,17.2,3.65,0,14,9,63.6,33.3,4,12,10.6,5,23,1,60.5,72.8,0,67,0,0,248,42,96.8,240,109.3,66,50.8,3,618,202,4.8,14.7,2.58
2018,KeeSean Johnson,39587,WR,FRESNO ST,14,129,0,169,8.4,5,79.3,50,3,6,4.2,1,15,0,76.5,81.1,1,45,0,0,105,23,95.2,100,132.4,29,22.5,4,282,145,6.3,12.3,2.82,0,11.9,11,72.4,43.8,7,16,7.8,6,38,0,70.1,81.3,1,45,0,0,331,71,97,321,113.1,98,76,3,1052,377,5.3,14.8,3.28
