year,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
2019,James Proche II,48037,WR,SMU,13,163,0,287,13,1,55.2,45,9,20,0,0,20,1,90.1,77.9,0,33,0,0,169,32,89.9,152,108.6,58,35.6,6,363,86,2.7,11.3,2.39,0,8.8,8,75.9,46.7,7,15,3.1,2,34,0,86,85.6,4,52,0,0,262,63,95,249,100.9,83,50.9,5,709,328,5.2,11.3,2.85
2019,Cedric Byrd II,75938,WR,HAWAII,15,149,0,180,10.9,0,63.4,66.7,2,3,10.3,3,13,1,60.7,59.1,3,45,0,0,183,26,96.2,176,68.5,41,27.5,2,274,140,5.4,10.5,1.56,0,11.8,8,68.2,33.3,3,9,9.1,6,29,0,60.4,66.3,3,46,0,0,398,60,96,382,96.9,88,59.1,5,702,139,2.3,11.7,1.84
2019,Jadan Blue,61705,WR,TEMPLE,13,144,0,306,11.1,2,56.8,60,3,5,8.7,2,14,0,64.7,76.4,0,79,0,0,127,21,93.7,119,103.4,37,25.7,2,320,170,8.1,15.2,2.69,0,7.4,7,72.7,22.2,2,9,8.9,7,31,0,66.2,73.1,2,60,0,0,309,72,96.4,298,91.9,99,68.8,2,733,437,6.1,10.2,2.46
2019,Omar Bayless,25522,WR,ARK STATE,13,141,0,113,14.1,3,67.7,42.9,3,7,4.5,1,16,0,76.5,82.8,1,51,0,0,127,21,91.3,116,124.6,31,22,5,297,73,3.5,14.1,2.56,0,14.7,8,65.1,37.5,6,16,11.1,7,39,0,58.6,82.9,3,92,0,0,343,56,93.6,321,113.3,86,61,5,1122,449,8,20,3.5
2019,Antonio Gandy-Golden,39993,WR,LIBERTY,13,138,0,206,15.6,3,48.9,40,6,15,4.3,1,20,0,75.9,80.2,1,33,0,0,151,22,94,142,86.7,45,32.6,3,334,75,3.4,15.2,2.35,0,15.1,13,66.3,56.3,9,16,1.8,1,40,0,83.7,89.2,3,73,0,0,308,55,96.1,296,118.4,83,60.1,6,1056,396,7.2,19.2,3.57
2019,Justin Jefferson,61398,WR,LSU,15,134,0,211,11.1,8,71.1,100,4,4,3.6,1,18,0,78.9,75.7,1,61,0,0,188,27,96.3,181,137.7,38,28.4,6,436,224,8.3,16.1,2.41,0,9,15,85.5,83.3,5,6,7.1,5,39,0,72.4,82.5,1,71,0.3,1,328,65,96.6,317,133.3,76,56.7,5,915,411,6.3,14.1,2.89
2019,Michael Pittman Jr.,29049,WR,USC,13,133,0,326,10.7,4,70.7,28.6,2,7,6.5,2,20,0,72.2,76.8,1,39,0,0,151,29,93.4,141,102.2,41,30.8,2,345,118,4.1,11.9,2.45,0,10.9,8,79.5,54.5,6,11,1.6,1,29,1,90.6,80.7,3,77,0,0,338,62,96.7,327,122.1,78,58.6,6,858,320,5.2,13.8,2.62
2019,Devin Duvernay,40006,WR,TEXAS,13,129,0,311,11.7,6,73,66.7,6,9,0,0,21,0,88.6,91.5,1,63,0,0,116,27,94,109,139.8,37,28.7,4,491,231,8.6,18.2,4.5,0,7.2,12,82.3,54.5,6,11,4.4,3,40,0,82.3,80.7,2,75,0,0,331,65,93.7,310,114.2,79,61.2,4,781,381,5.9,12,2.52
2019,David Bell,97989,WR,PURDUE,12,128,0,273,10.3,3,54.5,38.9,7,18,5.3,1,16,0,73.6,80.2,1,31,0,0,116,18,91.4,106,87.1,33,25.8,2,253,87,4.8,14.1,2.39,0,11.2,8,71.4,45.8,11,24,3.2,2,33,0,85,74.4,3,54,0,0,341,60,97.9,334,94.3,84,65.6,3,719,263,4.4,12,2.15
2019,Gabe Davis,55410,WR,UCF,12,128,0,323,16.6,3,46.3,42.9,6,14,13.6,3,16,0,52.3,69.8,0,45,0,0,151,19,94,142,114.5,41,32,5,337,73,3.8,17.7,2.37,0,16.8,7,62.2,31.3,5,16,3.8,2,33,0,82.1,82.6,0,73,0,0,269,51,94.8,255,127.4,82,64.1,7,887,261,5.1,17.4,3.48
2019,Jared Smart,98732,WR,HAWAII,15,126,0,180,10.1,0,66.7,62.5,5,8,10,2,9,0,62.7,54.1,0,24,0,0,183,18,96.2,176,83.9,27,21.4,0,170,57,3.2,9.4,0.97,0,12.5,13,67.9,46.7,7,15,7,4,33,0,71.8,72.5,1,46,0,0,392,53,95.9,376,103.9,78,61.9,3,706,246,4.6,13.3,1.88
2019,Lucky Jackson,29557,WR,W KENTUCKY,13,126,0,346,10.3,2,61.1,45.5,5,11,0,0,13,0,86.7,72,2,64,0,0,134,22,94.8,127,73.6,36,28.6,1,298,116,5.3,13.5,2.35,0,8.7,11,79,54.5,6,11,1.5,1,35,1,90.6,77.5,2,69,0,0,302,64,98,296,105.2,81,64.3,2,790,338,5.3,12.3,2.67
2019,Damonte Coxie,61419,WR,MEMPHIS,14,125,0,218,13.9,2,51.4,42.9,3,7,17.4,4,14,0,44.4,69.2,1,46,0,0,148,19,93.9,139,94.4,37,29.6,3,300,69,3.6,15.8,2.16,0,13.1,15,65.8,53.3,8,15,5.7,3,33,0,82,83.2,3,54,0,0,285,50,96.8,276,109.7,76,60.8,5,863,312,6.2,17.3,3.13
2019,Kalil Pimpleton,61799,WR,C MICHIGAN,14,124,0,134,7.1,4,76.5,75,3,4,7.1,1,6,0,68.7,66.9,0,14,0,0,72,13,93.1,67,108.7,17,13.7,1,95,61,4.7,7.3,1.42,0,8.2,7,62.5,42.9,3,7,13,9,33,0,43.4,66.2,5,80,0,0,343,60,96.2,330,78.1,96,77.4,4,731,403,6.7,12.2,2.22
2019,Maurice Ffrench,39871,WR,PITTSBURGH,11,123,0,268,7,11,71.4,50,2,4,13,3,9,1,53.5,65.2,1,19,0,0,131,20,95.4,125,87.9,28,22.8,2,117,92,4.6,5.9,0.94,0,6,10,79.8,66.7,4,6,2.9,2,29,2,87.3,71.8,3,96,0,0,297,67,96.3,286,93.2,84,68.3,2,675,445,6.6,10.1,2.36
2019,Ja'Marr Chase,84270,WR,LSU,14,121,0,211,12.3,10,69.4,47.1,8,17,2.9,1,26,1,82.2,92.4,1,61,0,0,172,34,97.1,167,143.1,49,40.5,7,710,303,8.9,20.9,4.25,0,17.6,10,72.4,45.5,5,11,4.5,2,33,0,78.5,85.7,2,78,0,0,271,42,97,263,139.7,58,47.9,10,987,355,8.5,23.5,3.75
2019,Warren Jackson,52050,WR,COLO STATE,10,120,0,144,12.5,0,55.2,50,6,12,5.9,1,14,0,71.1,79.9,0,28,1.1,1,92,16,91.3,84,103.4,29,24.2,2,225,42,2.6,14.1,2.68,0,12.5,9,69.7,71.4,10,14,3.6,2,37,1,83.1,87.1,2,87,0.4,1,254,53,95.7,243,111.6,76,63.3,4,817,294,5.5,15.4,3.36
2019,Elijah Cooks,61501,WR,NEVADA,13,119,0,239,14.4,1,47.2,50,5,10,10.5,2,12,0,50.6,65.5,1,43,0,0,162,17,95.1,154,84.5,36,30.3,3,232,63,3.7,13.6,1.51,0,12,14,70.7,64.3,9,14,5.4,3,31,1,77.5,76.7,1,55,0,0,324,53,95.7,310,110,75,63,4,663,317,6,12.5,2.14
2019,Tyler Johnson,48054,WR,MINNESOTA,13,119,0,225,9.9,0,51.7,40,4,10,21.1,4,12,0,34.5,69,1,30,0,0,111,15,91.9,102,80.5,29,24.4,2,186,43,2.9,12.4,1.82,0,11.5,9,80.5,81.8,9,11,3.1,2,41,2,85.4,92.2,1,73,0,0,240,62,96.3,231,139.3,77,64.7,6,1029,391,6.3,16.6,4.45
2019,Isaiah Hodgins,52130,WR,OREGON ST,12,118,0,265,13.6,3,64.3,64.3,9,14,0,0,20,0,88.3,85.2,0,40,0,0,152,27,96.1,146,118.8,42,35.6,3,397,92,3.4,14.7,2.72,0,12.6,4,74.6,33.3,2,6,2,1,34,0,88.2,81.8,0,42,0,0,269,50,97.4,262,117.5,67,56.8,2,696,206,4.1,13.9,2.66
2019,JoJo Ward,75940,WR,HAWAII,15,116,0,180,11.9,2,40,25,1,4,20,3,7,0,38.6,55,1,39,0,0,169,12,95.9,162,66.5,30,25.9,2,164,29,2.4,13.7,1.01,0,20.5,3,59.5,36.4,4,11,13.7,7,31,0,50.6,69.7,3,71,0,0,376,44,95.5,359,103.2,74,63.8,5,815,118,2.7,18.5,2.27
2019,Tre Walker,52260,WR,S JOSE ST,10,116,0,285,9.8,5,57.9,37.5,6,16,8.3,2,12,0,57.3,69,1,50,0,0,155,22,94.2,146,79.1,38,32.8,1,282,116,5.3,12.8,1.93,0,11.7,14,79.1,62.5,10,16,3.6,2,38,0,82.7,89.6,1,40,0,0,264,53,94.7,250,117.5,67,57.8,1,838,283,5.3,15.8,3.35
2019,Elijah Moore,84302,WR,OLE MISS,12,115,0,226,14,5,51.2,70,7,10,8.3,2,15,0,65.7,73.4,1,28,0,0,141,22,94.3,133,85.5,43,37.4,3,281,63,2.9,12.8,2.11,0,9.2,6,61.3,25,2,8,7.3,3,22,0,76.8,78.9,1,55,0,0,188,38,96.8,182,90.7,62,53.9,2,498,246,6.5,13.1,2.74
