year,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
2021,Keshunn Abram,100266,WR,KENT STATE,14,72,0,201,11.6,4,52.2,66.7,4,6,7.7,1,7,0,69.9,60.6,0,70,0,0,179,12,91.1,163,91.8,23,31.9,1,175,109,9.1,14.6,1.07,0,13.8,4,71.4,44.4,4,9,9.1,3,17,0,65.7,71.8,2,54,0,0,238,30,91.6,218,96.1,42,58.3,1,468,128,4.3,15.6,2.15
2021,Brock Bowers,146715,TE,GEORGIA,15,71,0,173,8.6,7,75,100,1,1,0,0,9,0,82.2,91.5,0,33,7.5,5,67,12,80.6,54,154.4,16,22.5,6,193,108,9,16.1,3.57,0,9.3,3,75.6,50,5,10,6.1,2,20,0,72.7,79.5,2,38,10.9,22,202,31,87.1,176,103.6,41,57.7,2,419,226,7.3,13.5,2.38
2021,Brant Kuithe,84071,TE,UTAH,14,71,0,328,7.2,4,80,100,4,4,0,0,10,0,84.2,75.2,1,27,3.9,4,102,16,89.2,91,115.6,20,28.2,3,145,50,3.1,9.1,1.59,0,8.8,8,65.8,0,0,5,16.7,5,19,0,35.6,79.5,2,49,3.6,5,140,25,92.9,130,86.5,38,53.5,1,390,208,8.3,15.6,3
2021,Tayvion Robinson,99693,WR,VA TECH,12,71,0,337,12.8,1,50,50,2,4,0,0,7,0,80.1,70.5,0,27,0,0,81,8,92.6,75,91.9,16,22.5,1,105,24,3,13.1,1.4,0,9.4,8,73,40,2,5,0,0,15,1,88.6,71.9,1,61,0,0,193,27,97.9,189,108.4,37,52.1,2,344,161,6,12.7,1.82
2021,Tyrice Richie,100193,WR,N ILLINOIS,9,71,0,254,8.8,7,66.7,75,6,8,4.3,1,9,1,75.9,79.9,1,50,0,0,71,22,94.4,67,88.6,33,46.5,1,265,113,5.1,12,3.96,0,8.4,4,69,0,0,2,9.1,2,10,0,63.8,79.5,1,39,0,0,76,20,96.1,73,80.4,29,40.8,0,245,154,7.7,12.3,3.36
2021,Josh Vann,84414,WR,S CAROLINA,13,71,0,289,13.8,1,57.9,28.6,2,7,0,0,8,0,81.5,69.6,0,26,0,0,86,11,87.2,75,119,19,26.8,2,153,52,4.7,13.9,2.04,0,18.5,1,66.7,50,4,8,0,0,19,0,88.6,76.5,2,61,0,0,203,28,97,197,100.7,42,59.2,2,474,125,4.5,16.9,2.41
2021,Jelani Woods,60509,TE,VIRGINIA,11,71,0,335,10,5,62.5,70,7,10,9.1,2,15,1,64.7,82,1,40,3.1,5,159,20,88.7,141,108.7,32,45.1,3,279,101,5.1,14,1.98,0,11.8,6,53.8,40,2,5,17.6,3,8,0,32.3,59.9,0,32,7.8,11,141,14,88.7,125,90.4,26,36.6,1,191,75,5.4,13.6,1.53
2021,Jeff Foreman,97868,WR,ARK STATE,12,70,0,113,18.2,2,42.1,62.5,5,8,11.1,1,8,0,41.2,66.3,1,61,0,0,105,8,88.6,93,60.9,19,27.1,0,208,43,5.4,26,2.24,0,16,0,47.4,37.5,3,8,10,2,12,0,63.6,60.9,3,24,0,0,225,18,98.2,221,32.9,38,54.3,0,221,80,4.4,12.3,1
2021,Victor Tucker,61203,WR,CHARLOTTE,11,70,0,136,9.6,1,75,50,1,2,0,0,10,0,84.2,77.4,0,34,0,0,95,15,94.7,90,131,20,28.6,1,239,128,8.5,15.9,2.66,0,10.2,6,70,55.6,5,9,3.4,1,18,1,79.6,75.4,1,29,0,0,186,28,94.6,176,94.6,40,57.1,1,348,135,4.8,12.4,1.98
2021,Gary Bryant Jr.,131819,WR,USC,10,70,0,326,15.5,0,40,33.3,1,3,33.3,4,5,0,23,52.5,1,16,0,0,125,8,84.8,106,49.6,20,28.6,1,88,27,3.4,11,0.83,0,13.5,2,75.7,50,4,8,3.4,1,15,0,79.5,69.4,0,62,0,0,189,28,96.3,182,150.6,37,52.9,4,439,108,3.9,15.7,2.41
2021,Jalen Wydermyer,99185,TE,TEXAS A&M,12,70,0,312,9.6,1,50,57.1,4,7,23.5,4,10,0,29.7,57.8,1,28,11.3,17,150,13,80,120,76.1,26,37.1,2,142,77,5.9,10.9,1.18,0,9.4,5,69.4,57.1,4,7,10.7,3,17,0,59.5,82.6,0,34,8.8,16,181,25,88.4,160,120.1,36,51.4,2,360,113,4.5,14.4,2.25
2021,Rome Odunze,73774,WR,WASHINGTON,9,69,0,340,14.6,1,38.5,0,0,1,41.2,7,5,0,10.3,53,0,55,0,0,95,10,92.6,88,70.2,26,37.7,1,145,67,6.7,14.5,1.65,0,7,6,75.7,25,1,4,0,0,11,0,88.6,74.2,2,26,0,0,130,28,99.2,129,80.1,37,53.6,1,253,166,5.9,9,1.96
2021,Elijah Higgins,98027,WR,STANFORD,10,69,0,300,11.9,1,53.3,46.2,6,13,5.9,1,11,0,70.9,68,1,25,0,0,117,16,86.3,101,87.2,30,43.5,3,153,35,2.2,9.6,1.51,0,8.8,2,71.9,60,3,5,11.5,3,10,0,57.3,64.6,0,56,0,0,149,23,96.6,144,109.2,32,46.4,1,283,131,5.7,12.3,1.97
2021,Marcell Barbee,121958,WR,TEXAS ST,12,68,0,314,15.7,0,57.1,50,2,4,0,0,4,0,74.9,71.6,0,38,0,0,37,4,86.5,32,140.5,7,10.3,2,86,21,5.3,21.5,2.69,0,11.4,9,59.2,44.4,4,9,9.4,3,19,0,64.1,67.6,2,42,0,0,216,29,93.5,202,78.7,49,72.1,2,361,136,4.7,12.4,1.79
2021,Tyler Badie,83714,HB,MISSOURI,12,68,0,229,-2.3,4,73.3,100,1,1,0,0,3,0,81.5,63.1,0,30,23.2,19,82,11,72,59,104,15,22.1,1,67,106,9.6,6.1,1.14,0,-0.9,7,76.9,,0,0,0,0,8,0,89.2,72.4,1,34,11.5,23,200,30,85,170,86,39,57.4,1,205,259,8.6,6.8,1.21
2021,Jackson Anthrop,41338,WR,PURDUE,13,68,0,273,3.3,0,80,0,0,2,0,0,4,0,79.3,59.9,0,11,0,0,77,8,89.6,69,124.6,10,14.7,1,59,34,4.3,7.4,0.86,0,6,5,76.6,33.3,2,6,5.3,2,16,0,76.3,67.9,1,42,1.2,3,253,36,94.1,238,114.8,47,69.1,3,412,230,6.4,11.4,1.73
2021,Shedrick Jackson,84136,WR,AUBURN,13,68,0,115,10.1,0,45.5,33.3,3,9,16.7,2,5,0,47.1,50.2,0,48,0,0,122,10,95.1,116,77.5,22,32.4,1,118,44,4.4,11.8,1.02,0,12.5,4,69.7,50,3,6,4.2,1,17,0,76.5,65.4,0,42,0,0,186,23,97.3,181,100.6,33,48.5,0,320,112,4.9,13.9,1.77
2021,Jaylen Hall,61825,WR,W MICHIGAN,12,68,0,347,20.8,1,63.6,66.7,4,6,0,0,5,0,78.5,66.8,0,68,0,0,103,7,90.3,93,137.5,11,16.2,1,198,65,9.3,28.3,2.13,0,17.8,4,66.7,20,1,5,3.4,1,21,0,79.5,70.3,0,47,0,0,219,28,95,208,119.2,42,61.8,2,461,138,4.9,16.5,2.22
2021,Brandon Johnson,40666,WR,UCF,13,67,0,323,13.9,1,38.9,66.7,4,6,22.2,2,7,0,37.6,59.8,1,23,0,0,110,7,95.5,105,71.5,18,26.9,5,89,10,1.4,12.7,0.85,0,14.7,3,59,40,2,5,4.2,1,16,1,76.5,62.9,0,50,0,0,249,23,95.2,237,117.3,39,58.2,3,378,142,6.2,16.4,1.59
2021,Cedric Patterson III,84332,WR,RICE,12,67,0,275,13.1,1,46.7,16.7,1,6,22.2,2,6,0,38,58.1,0,17,0,0,73,7,90.4,66,84,15,22.4,1,75,23,3.3,10.7,1.14,0,11.3,9,61.4,30,3,10,10,3,17,1,53.4,64.1,0,73,0,0,242,27,95.5,231,126.6,44,65.7,4,455,192,7.1,16.9,1.97
2021,Ricky Pearsall,100660,WR,ARIZONA ST,13,67,0,110,9.5,3,69.6,0,0,2,0,0,9,0,84.2,69.8,2,65,0.9,1,106,16,93.4,99,104.5,23,34.3,4,227,166,10.4,14.2,2.29,0,8,1,73,66.7,2,3,6.9,2,12,0,70.1,59.8,1,29,0.5,1,206,27,95.1,196,81,37,55.2,0,261,106,3.9,9.7,1.33
2021,Jack Bech,146771,WR,LSU,13,67,0,211,11.8,5,61.9,100,2,2,7.1,1,9,0,67.5,76,0,40,0,0,106,13,96.2,102,124.5,21,31.3,2,197,88,6.8,15.2,1.93,0,6.2,8,62.2,50,1,2,4.2,1,12,0,76.5,66.9,0,24,0.6,1,157,23,98.1,154,76,37,55.2,0,196,123,5.3,8.5,1.27
2021,Kaylon Geiger,102929,WR,TEXAS TECH,13,67,0,315,16.5,0,58.8,33.3,2,6,0,0,7,0,80.9,67.7,0,55,0,0,74,10,93.2,69,87.4,17,25.4,0,148,31,3.1,14.8,2.14,0,10.7,3,75,66.7,2,3,0,0,15,0,88.6,70.6,0,75,0,0,207,27,95.2,197,115.2,36,53.7,1,357,125,4.6,13.2,1.81
2021,Tyrone Broden,100273,WR,BOWL GREEN,11,67,0,122,15.3,0,66.7,66.7,2,3,11.1,1,4,1,58.9,60.3,0,44,0,0,64,8,95.3,61,131.9,12,17.9,1,134,33,4.1,16.8,2.2,0,19,2,50,20,1,5,12,3,13,0,47.3,62.7,4,64,0,0,237,22,96.6,229,57.5,44,65.7,2,385,77,3.5,17.5,1.68
2021,Melquan Stovall,74267,WR,NEVADA,12,66,0,239,7.4,0,55.6,0,0,1,16.7,1,1,0,49.8,46.9,1,15,0,0,116,5,92.2,107,21.3,9,13.6,0,26,30,6,5.2,0.24,0,5.7,9,90,0,0,2,0,0,16,0,90.6,66.9,0,65,0,0,277,36,96.8,268,122.6,40,60.6,1,457,270,7.5,12.7,1.71
2021,Tory Horton,128232,WR,NEVADA,12,66,0,239,13.3,3,63.2,100,1,1,14.3,2,7,0,51.7,65.9,0,46,0,0,99,12,93.9,93,135.9,19,28.8,2,210,45,3.8,17.5,2.26,0,9.9,8,82.4,,0,0,0,0,19,0,88.9,71,1,54,0,0,210,28,93.8,197,120.2,34,51.5,2,377,191,6.8,13.5,1.91
2021,Demario Douglas,104155,WR,LIBERTY,12,66,0,206,13.3,3,70.6,75,3,4,0,0,12,0,83.3,90.6,0,70,0,0,64,12,84.4,54,152.6,17,25.8,3,251,104,8.7,20.9,4.65,0,7,12,87.2,50,1,2,2.9,1,15,0,82.7,82.1,0,49,0,0,159,34,95,151,112.3,39,59.1,1,347,205,6,10.2,2.3
2021,Deuce Vaughn,122624,HB,KANSAS ST,13,66,0,199,4.6,1,66.7,0,0,1,0,0,4,0,63.9,70.1,0,55,23.5,19,81,10,72.8,59,122.8,15,22.7,2,92,79,7.9,9.2,1.56,0,3.6,7,70.6,0,0,1,11.1,3,12,0,59.7,65.1,0,41,19,31,163,24,77.3,126,90.4,34,51.5,0,241,218,9.1,10,1.91
2021,Cornelius Johnson,97996,WR,MICHIGAN,14,66,0,222,13.6,2,56.3,42.9,3,7,18.2,2,4,0,44.3,63,1,87,0,0,81,9,92.6,75,113.3,16,24.2,3,195,64,7.1,21.7,2.6,0,15.5,6,53.8,22.2,2,9,16,4,13,0,45.8,64.3,0,37,0,0,221,21,97.3,215,77.2,39,59.1,0,283,113,5.4,13.5,1.32
