year,team_name,team_grade
2022,AIR FORCE,93.6
2022,AKRON,68
2022,ALABAMA,93.1
2022,APP STATE,88.5
2022,ARIZONA,73.4
2022,ARIZONA ST,74
2022,ARKANSAS,84.8
2022,ARK STATE,74.5
2022,ARMY,81.5
2022,AUBURN,72.1
2022,BALL ST,75.5
2022,BAYLOR,88.2
2022,BOISE ST,90
2022,BOSTON COL,65.3
2022,BOWL GREEN,74.8
2022,BUFFALO,73.7
2022,BYU,86.2
2022,CAL,68.5
2022,C MICHIGAN,75
2022,CHARLOTTE,72
2022,CINCINNATI,87.4
2022,CLEMSON,88.6
2022,COAST CAR,75.8
2022,COLORADO,49.5
2022,COLO STATE,69
2022,UCONN,74.4
2022,DUKE,83.7
2022,E CAROLINA,77.3
2022,E MICHIGAN,81.6
2022,FLORIDA,85.1
2022,FAU,75.5
2022,FIU,66.8
2022,FLORIDA ST,91.5
2022,FRESNO ST,84.6
2022,GEORGIA,93.8
2022,GA SOUTHRN,73.9
2022,GA STATE,75.5
2022,GA TECH,64.7
2022,HAWAII,65.7
2022,HOUSTON,90.8
2022,ILLINOIS,92
2022,INDIANA,62.1
2022,IOWA,88.1
2022,IOWA STATE,78.5
2022,KANSAS,79.1
2022,KANSAS ST,84.6
2022,KENT STATE,80.1
2022,KENTUCKY,81.4
2022,LIBERTY,75.9
2022,LA LAFAYET,82.5
2022,LA TECH,69.7
2022,LA MONROE,64.2
2022,LOUISVILLE,81.9
2022,LSU,86.1
2022,MARSHALL,81.2
2022,MARYLAND,79.2
2022,UMASS,57.4
2022,MEMPHIS,85.3
2022,MIAMI FL,82.1
2022,MIAMI OH,69.5
2022,MICH STATE,77.6
2022,MICHIGAN,94.2
2022,MIDDLE TN,71
2022,MINNESOTA,93.7
2022,OLE MISS,83.8
2022,MISS STATE,77.9
2022,MISSOURI,80.8
2022,NAVY,71.3
2022,NEBRASKA,70.2
2022,NEVADA,64
2022,NEW MEXICO,58.2
2022,NEW MEX ST,69.8
2022,N CAROLINA,80
2022,NC STATE,82.2
2022,N TEXAS,85.3
2022,N ILLINOIS,77.8
2022,NWESTERN,62.4
2022,NOTRE DAME,90.6
2022,OHIO,79.6
2022,OHIO STATE,95.1
2022,OKLAHOMA,85.7
2022,OKLA STATE,75
2022,DOMINION,72.8
2022,OREGON,88.8
2022,OREGON ST,91.3
2022,PENN STATE,86.1
2022,PITTSBURGH,91
2022,PURDUE,72.2
2022,RICE,68.9
2022,RUTGERS,72.3
2022,S DIEGO ST,76
2022,S JOSE ST,79
2022,SMU,79.5
2022,S ALABAMA,83.1
2022,S CAROLINA,73.9
2022,SO MISS,74.6
2022,STANFORD,68.8
2022,SYRACUSE,82.6
2022,TCU,84.5
2022,TEMPLE,71
2022,TENNESSEE,82.3
2022,TEXAS,90.1
2022,TEXAS A&M,73.5
2022,TEXAS TECH,84.9
2022,TEXAS ST,75.6
2022,TOLEDO,84.4
2022,TROY,90.7
2022,TULANE,88.1
2022,TULSA,75.2
2022,UAB,90.7
2022,UCF,85.1
2022,UCLA,90.4
2022,UNLV,78.8
2022,USC,90.7
2022,USF,69.6
2022,UTAH,88.8
2022,UTAH ST,68.4
2022,UTEP,83.3
2022,UTSA,86.3
2022,VANDERBILT,63
2022,VIRGINIA,67.4
2022,VA TECH,71.8
2022,WAKE,92.2
2022,WASHINGTON,86
2022,WASH STATE,72.6
2022,W VIRGINIA,75.8
2022,W KENTUCKY,81.5
2022,W MICHIGAN,76.6
2022,WISCONSIN,88.2
2022,WYOMING,74.2
