year,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
2020,Malik Williams,61121,WR,APP STATE,11,13,1,65.1,28.6,2,7,0,4.7,2,21,108,0,71.6,83.3,67.6,,67.7,0.8,2,2,62,0,0,265,0,41,91.3,242,91.3,242,94.4,63,3,7.2,19,536,207,5,13.1,2.21
2020,Winston Wright Jr.,99537,WR,W VIRGINIA,10,9.5,2,73,50,5,10,0,8,4,23,343,0,68.1,76.6,71,61,71.7,0,0,0,70,0.4,1,276,0,46,96,265,98.2,271,109.4,63,2,1.4,4,543,280,6.1,11.8,2.05
2020,Osirus Mitchell,42344,WR,MISS STATE,11,8.8,9,75.8,40,4,10,0,4.1,2,25,227,0,80.7,73.5,63.7,,63.2,0,0,4,43,0,0,345,0,47,97.4,336,6.1,21,93.8,62,4,93.9,324,505,227,4.8,10.7,1.5
2020,Antwan Davis,61163,WR,BALL ST,8,10.5,6,62.9,33.3,4,12,0,4.9,2,26,117,0,77.7,73.2,71.1,,68.3,0,0,2,33,0,0,291,0,39,94.5,275,34,99,77.4,62,1,66,192,461,146,3.7,11.8,1.68
2020,Tony Poljan,40148,TE,VIRGINIA,10,10.7,2,62.3,14.3,2,14,1,9.5,4,23,335,1,56.6,38.1,71,55.6,69.6,89.2,315,1,28,12.7,45,353,2,38,81.6,288,7.1,25,108,61,6,2,7,411,114,3,10.8,1.43
2020,Josh Pederson,39861,TE,LA MONROE,10,11.9,1,52.5,37.5,6,16,0,15.8,6,20,209,0,44.7,72,59.7,69.1,59.4,47.5,153,3,26,9.6,31,322,0,32,86,277,47.2,152,50.4,61,0,5.3,17,367,92,2.9,11.5,1.32
2020,Kwamie Lassiter II,23226,WR,KANSAS,9,8.9,6,71.7,66.7,8,12,0,6.5,3,22,198,0,73.8,82.5,67.7,,66.7,0,0,1,48,0,0,369,1,43,94,347,64.2,237,97.8,60,2,35.8,132,458,136,3.2,10.7,1.32
2020,Joshua Palmer,62979,WR,TENNESSEE,10,17.1,2,53.3,42.1,8,19,0,5.9,2,23,307,0,73.4,72,70.7,63.6,71.9,0,0,3,36,0.4,1,285,2,32,94.4,269,23.5,67,80.9,60,4,76.1,217,475,62,1.9,14.8,1.77
2020,Michael Mayer,122906,TE,NOTRE DAME,12,7.6,11,71.2,50,3,6,1,10.6,5,32,258,1,60.7,41.4,71,73.7,68.7,38.4,134,1,29,3.2,11,349,3,42,92.6,323,51.9,181,97.4,59,2,9.5,33,450,217,5.2,10.7,1.39
2020,Chris Olave,84355,WR,OHIO STATE,7,12.9,5,84.7,44.4,4,9,0,2,1,35,260,4,88.2,21.2,83.3,,84.8,0,0,2,56,0,0,234,0,50,93.2,218,11.5,27,143.4,59,7,88.5,207,727,172,3.4,14.5,3.33
