year,team_name,team_grade
2020,AIR FORCE,92
2020,AKRON,43
2020,ALABAMA,95.2
2020,APP STATE,91
2020,ARIZONA,60.4
2020,ARIZONA ST,85.9
2020,ARKANSAS,69.1
2020,ARK STATE,71.2
2020,ARMY,91.1
2020,AUBURN,71.3
2020,BALL ST,84.3
2020,BAYLOR,64.3
2020,BOISE ST,80.4
2020,BOSTON COL,78.3
2020,BOWL GREEN,51.5
2020,BUFFALO,94.4
2020,BYU,95.1
2020,CAL,66.9
2020,C MICHIGAN,79.7
2020,CHARLOTTE,67.5
2020,CINCINNATI,90.4
2020,CLEMSON,91.4
2020,COAST CAR,90.8
2020,COLORADO,73
2020,COLO STATE,73.6
2020,UCONN,
2020,DUKE,66
2020,E CAROLINA,70.5
2020,E MICHIGAN,70.7
2020,FLORIDA,82.4
2020,FAU,71.8
2020,FIU,71
2020,FLORIDA ST,6.2
2020,FRESNO ST,71.3
2020,GEORGIA,93.5
2020,GA SOUTHRN,84
2020,GA STATE,79.7
2020,GA TECH,61.5
2020,HAWAII,65.3
2020,HOUSTON,88
2020,ILLINOIS,65.9
2020,INDIANA,76.7
2020,IOWA,90.9
2020,IOWA STATE,87.8
2020,KANSAS,50.9
2020,KANSAS ST,74.1
2020,KENT STATE,84.7
2020,KENTUCKY,82.5
2020,LIBERTY,91.4
2020,LA LAFAYET,89
2020,LA TECH,70.7
2020,LA MONROE,50.4
2020,LOUISVILLE,78.7
2020,LSU,82.4
2020,MARSHALL,92.7
2020,MARYLAND,73.7
2020,UMASS,43.4
2020,MEMPHIS,83.9
2020,MIAMI FL,78
2020,MIAMI OH,76.2
2020,MICH STATE,82.1
2020,MICHIGAN,82.1
2020,MIDDLE TN,61.5
2020,MINNESOTA,78.3
2020,OLE MISS,80.4
2020,MISS STATE,64.2
2020,MISSOURI,76.2
2020,NAVY,59
2020,NEBRASKA,70.4
2020,NEVADA,83.4
2020,NEW MEXICO,67.7
2020,NEW MEX ST,65.3
2020,N CAROLINA,80.2
2020,NC STATE,77.7
2020,N TEXAS,73.9
2020,N ILLINOIS,72.1
2020,NWESTERN,83
2020,NOTRE DAME,91.9
2020,OHIO,82.9
2020,OHIO STATE,93.5
2020,OKLAHOMA,93.5
2020,OKLA STATE,84.9
2020,DOMINION,
2020,OREGON,77.8
2020,OREGON ST,74.7
2020,PENN STATE,83.3
2020,PITTSBURGH,77.1
2020,PURDUE,71.1
2020,RICE,71.1
2020,RUTGERS,64.8
2020,S DIEGO ST,90
2020,S JOSE ST,90
2020,SMU,82.2
2020,S ALABAMA,69.3
2020,S CAROLINA,67.6
2020,SO MISS,81.1
2020,STANFORD,83.7
2020,SYRACUSE,65.5
2020,TCU,79.8
2020,TEMPLE,64.3
2020,TENNESSEE,70.5
2020,TEXAS,84.6
2020,TEXAS A&M,91.3
2020,TEXAS TECH,68.3
2020,TEXAS ST,70.4
2020,TOLEDO,85.7
2020,TROY,84.1
2020,TULANE,79.6
2020,TULSA,83.6
2020,UAB,91.7
2020,UCF,75.6
2020,UCLA,77.1
2020,UNLV,58.5
2020,USC,85.2
2020,USF,66.1
2020,UTAH,85.3
2020,UTAH ST,56
2020,UTEP,75.5
2020,UTSA,78
2020,VANDERBILT,61.7
2020,VIRGINIA,78.2
2020,VA TECH,81.4
2020,WAKE,82.2
2020,WASHINGTON,92.1
2020,WASH STATE,68.8
2020,W VIRGINIA,83.8
2020,W KENTUCKY,76.7
2020,W MICHIGAN,87.3
2020,WISCONSIN,86.6
2020,WYOMING,82.4
