year,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
2021,Jerreth Sterns,102597,WR,W KENTUCKY,14,6.3,25,79.6,55,11,20,0,2,3,88,346,0,94.4,86,90.5,76.2,90.6,0,0,2,74,0.3,2,680,2,148,93.8,638,92.9,632,135,186,17,6.6,45,1891,1134,7.7,12.8,2.96
2021,Deven Thompkins,84480,WR,UTAH ST,14,15.9,8,64.6,41.2,14,34,0,4.6,5,62,329,0,84.3,78.4,83.1,,87.1,0,0,7,75,0,0,580,5,104,93.4,542,82.6,479,103.1,161,10,14.5,84,1722,485,4.7,16.6,3.18
2021,Jordan Addison,123000,WR,PITTSBURGH,14,12.4,21,69.4,55.6,15,27,1,9.9,11,65,268,0,63.4,83.2,88.8,,88.6,0,0,3,67,0,0,566,1,100,95.6,541,68,385,136.7,144,17,31.8,180,1593,655,6.6,15.9,2.94
2021,Josh Downs,122832,WR,N CAROLINA,13,8.5,14,70.1,30.8,4,13,0,9,10,59,245,0,67,83.5,81.4,,83.4,0,0,4,63,0,0,503,2,101,94.8,477,95.4,480,106.1,144,8,2,10,1335,754,7.5,13.2,2.8
2021,Wan'Dale Robinson,101735,WR,KENTUCKY,13,10.4,22,74.3,52.9,9,17,0,6.3,7,61,202,0,77.1,82.1,91.3,,90.9,0,0,5,79,0,0,388,1,104,97.2,377,71.9,279,105.7,140,7,27.8,108,1342,599,5.8,12.9,3.56
2021,Makai Polk,100647,WR,MISS STATE,13,8.6,7,75.5,44.4,8,18,0,5.4,6,55,227,1,81.8,61,68,,67.9,0,0,2,50,0,0,689,0,105,95.1,655,5.5,38,111.9,139,9,94.5,651,1043,332,3.2,9.9,1.59
2021,Tank Dell,78874,WR,HOUSTON,14,11.2,19,65.5,33.3,6,18,0,10.8,11,64,182,1,59.5,61.4,88.3,,88.8,0,0,3,55,0,0,484,0,91,96.7,468,50.4,244,116.2,139,12,49.6,240,1328,597,6.6,14.6,2.84
2021,Jahan Dotson,84375,WR,PENN STATE,12,11.3,9,66.4,41.7,5,12,1,2.2,2,58,266,1,91.2,86.7,87.5,,87.2,0,0,4,86,0,0,486,1,91,94.9,461,23.7,115,110.4,137,12,76.3,371,1182,482,5.3,13,2.56
2021,Josh Johnson,61329,WR,TULSA,13,11.7,7,63,50,9,18,0,8.6,8,50,320,0,68.5,76.7,75.6,,77.5,0,0,9,63,0,0,476,1,85,92.4,440,98.5,469,75.9,135,6,1.5,7,1113,362,4.3,13.1,2.53
2021,David Bell,97989,WR,PURDUE,11,10.7,25,69.9,42.3,11,26,0,5.1,5,60,273,0,81.1,77.1,87.5,,87.4,0,0,0,60,0,0,490,0,93,96.3,472,16.3,80,115.3,133,6,83.7,410,1275,536,5.8,13.7,2.7
