year,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
2020,DeVonta Smith,61100,WR,ALABAMA,13,145,0,103,10.5,2,85.7,50,3,6,2.7,1,32,0,75.6,96.1,0,65,0,0,125,36,90.4,113,158.3,42,29,11,752,400,11.1,20.9,6.65,0,10.2,8,83.3,45.5,5,11,2.8,2,45,0,83.5,91.8,1,66,0,0,263,70,95.8,252,136.1,84,57.9,6,1020,509,7.3,14.6,4.05
2020,Jonathan Adams Jr.,61148,WR,ARK STATE,10,121,0,113,13.1,1,47.8,44.4,4,9,8.3,1,8,0,64.6,71.4,1,32,0,0,67,11,95.5,64,82.1,23,19,4,103,35,3.2,9.4,1.61,0,15.9,6,72.4,65.4,17,26,10,7,46,0,61.9,88,0,52,0,0,319,63,94,300,128.4,87,71.9,5,978,221,3.5,15.5,3.26
2020,Calvin Austin III,61418,WR,MEMPHIS,11,119,0,218,14.7,6,53.3,41.7,5,12,4,1,20,0,78.4,85.7,3,65,0,0,153,24,91.5,140,103.5,45,37.8,6,488,211,8.8,20.3,3.49,0,12.6,7,50.7,26.7,4,15,19,8,20,1,35.3,62.9,0,59,0,0,264,34,94.3,249,89.6,67,56.3,3,488,127,3.7,14.4,1.96
2020,Jaelon Darden,61522,WR,N TEXAS,9,112,0,251,16.8,6,65.2,0,0,1,6.3,1,13,0,69.9,91.4,0,75,0,0,55,15,98.2,54,148.1,23,20.5,6,387,179,11.9,25.8,7.17,0,12.4,15,65.4,0,0,7,10.2,6,30,0,61.8,83.2,3,75,0,0,204,53,98.5,201,119.5,81,72.3,11,754,350,6.6,14.2,3.75
2020,Jalen Tolbert,61637,WR,S ALABAMA,11,105,0,288,13.6,0,53.8,57.1,4,7,0,0,7,0,78.5,69.5,0,23,0,0,70,7,92.9,65,112.5,13,12.4,2,81,14,2,11.6,1.25,0,17.9,6,67.9,50,10,20,7,4,32,1,71.7,78.9,1,73,0,0,331,53,94.9,314,123,78,74.3,5,903,242,4.6,17,2.88
2020,Marlon Williams,55411,WR,UCF,8,104,0,323,11.7,5,59.5,22.2,2,9,4.3,1,13,0,77.2,78.6,0,42,0,0,124,22,91.9,114,119.4,37,35.6,4,282,113,5.1,12.8,2.47,0,10.1,13,76.4,33.3,1,3,4.5,2,27,0,78.5,85.3,2,85,0,0,171,42,97.1,166,125,55,52.9,4,662,305,7.3,15.8,3.99
2020,Zay Flowers,97268,WR,BOSTON COL,11,103,0,121,16.3,5,50,28.6,2,7,4.8,1,12,0,76.7,80.5,1,77,0,0,149,20,88.6,132,110.9,40,38.8,4,425,208,10.4,21.3,3.22,0,13.6,4,58.2,25,1,4,13.5,5,15,1,51.2,66,2,50,0,0,246,32,97.2,239,86.6,55,53.4,3,435,162,5.1,13.6,1.82
2020,Elijah Moore,84302,WR,OLE MISS,8,101,0,226,10.1,4,88,83.3,5,6,4.3,1,19,0,77.2,90.4,0,33,0,0,78,22,85.9,67,148.8,25,24.8,4,255,89,4,11.6,3.81,0,11.3,14,86.2,71.4,5,7,2,1,28,0,87.7,89.9,2,91,0.5,1,197,50,94.9,187,121.5,58,57.4,3,723,324,6.5,14.5,3.87
2020,Taj Harris,77970,WR,SYRACUSE,10,101,0,304,11.1,6,60.7,25,1,4,15,3,12,0,49,77.2,1,79,0,0,96,17,91.7,88,88.1,28,27.7,1,258,137,8.1,15.2,2.93,0,14.7,15,56.3,18.2,2,11,7.7,3,17,1,69.3,66.2,4,69,0,0,235,36,97,228,72.5,64,63.4,4,442,213,5.9,12.3,1.94
2020,Seth Williams,84137,WR,AUBURN,11,100,0,115,13.5,6,45.5,33.3,5,15,11.8,2,13,1,57.1,72.3,2,58,0,0,124,15,95.2,118,81,33,33,3,285,111,7.4,19,2.42,0,13.2,6,53.1,22.2,2,9,16.1,5,15,0,44.5,62.9,1,38,0,0,200,26,96.5,193,66.7,49,49,0,340,119,4.6,13.1,1.76
