year,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
2022,Xavier Hutchinson,122518,WR,IOWA STATE,12,161,0,193,7.1,5,58.8,22.2,2,9,9.1,2,14,0,63.6,74.3,0,33,0,0,90,20,92.2,83,103.4,34,21.1,3,187,104,5.2,9.4,2.25,0,10.1,8,69.8,57.9,11,19,4.3,3,39,1,82.3,89.2,1,38,0,0,277,67,96,266,95.9,96,59.6,2,761,230,3.4,11.4,2.86
2022,Rashee Rice,97605,WR,SMU,12,156,0,287,15,2,37.8,40,4,10,26.3,5,10,0,25.6,62.1,1,41,0,0,125,14,90.4,113,72,37,23.7,3,201,75,5.4,14.4,1.78,0,9.8,16,72.3,55.6,10,18,5.2,4,40,3,75.5,89.8,2,75,0,0,286,73,95.5,273,110.6,101,64.7,4,1050,463,6.3,14.4,3.85
2022,Charlie Jones,55038,WR,PURDUE,13,154,0,273,13.2,2,62.7,50,10,20,3,1,22,0,81.5,77.6,2,55,0,0,187,32,92.5,173,110.1,51,33.1,5,482,134,4.2,15.1,2.79,0,10.2,4,73.4,57.9,11,19,3.3,2,32,1,84.4,79.7,0,58,0.4,1,263,58,94.7,249,111.2,79,51.3,3,669,236,4.1,11.5,2.69
2022,Tank Dell,78874,WR,HOUSTON,13,152,0,182,10.6,7,73.5,75,3,4,10,4,29,1,63.3,89.6,2,47,0,0,145,36,93.1,135,127.1,49,32.2,11,485,210,5.8,13.5,3.59,0,11.6,10,73.3,42.9,3,7,5.2,3,29,1,78.7,74.4,0,63,0,0,313,55,96.2,301,109.9,75,49.3,2,680,258,4.7,12.4,2.26
2022,Malachi Corley,66272,WR,W KENTUCKY,14,137,0,346,7.7,12,67.5,50,2,4,0,0,19,0,88.6,86.6,1,76,0,0,134,27,89.6,120,128.1,40,29.2,5,390,303,11.2,14.4,3.25,0,5,26,79.8,36.4,4,11,2.9,2,32,0,87.5,76.8,1,64,0.3,1,322,67,96.9,312,117.7,84,61.3,4,809,642,9.6,12.1,2.59
2022,Zakhari Franklin,97620,WR,UTSA,14,131,0,331,9.4,6,54.5,47.1,8,17,17.2,5,20,0,41.6,71.2,0,43,0,0,159,24,96.2,153,114.3,44,33.6,8,287,124,5.2,12,1.88,0,9.2,12,78.7,50,6,12,3.3,2,37,0,84.6,75.6,2,39,0,0,353,59,95.5,337,128.6,75,57.3,7,754,361,6.1,12.8,2.24
2022,Isaiah Winstead,91115,WR,E CAROLINA,13,130,0,156,11.1,3,72.5,52.9,9,17,3.3,1,18,1,80,83.6,0,67,0,0,144,29,92.4,133,133.5,40,30.8,3,442,165,5.7,15.2,3.32,0,11.3,11,62.9,41.2,7,17,4.3,2,27,1,79.4,70.9,1,30,0,0,270,44,96.3,260,82.8,70,53.8,1,496,118,2.7,11.3,1.91
2022,A.T. Perry,77975,WR,WAKE,13,129,0,339,15.6,4,66.7,42.9,3,7,10.3,3,17,0,60.7,78.5,3,49,0,0,139,26,92.1,128,90.4,39,30.2,3,367,83,3.2,14.1,2.87,0,15.2,1,59.3,41.7,5,12,12.5,5,24,0,55.1,75.4,2,68,0,0,213,35,95.8,204,91.3,59,45.7,3,523,75,2.1,14.9,2.56
2022,Jayshon Jackson,78041,WR,BALL ST,12,129,0,117,10.2,4,58.5,58.3,7,12,4,1,18,0,77.8,76.4,0,37,0.7,1,144,24,91,131,98.4,41,31.8,2,308,156,6.5,12.8,2.35,0,7.6,8,61.5,13.3,2,15,5.9,3,26,0,75.4,70.5,3,43,0,0,267,48,95.9,256,67.5,78,60.5,1,485,298,6.2,10.1,1.89
2022,Khaleb Hood,97159,WR,GA SOUTHRN,13,127,0,174,8.9,2,67.7,60,3,5,12.5,3,11,0,54.9,67.1,0,38,0,0,118,21,95.8,113,113.8,31,24.4,2,251,128,6.1,12,2.22,0,6.4,9,74.4,33.3,3,9,3.3,2,28,2,84.3,65.5,2,46,0.3,1,313,58,96.5,302,87.4,78,61.4,1,558,347,6,9.6,1.85
2022,Zay Flowers,97268,WR,BOSTON COL,12,124,0,121,9.5,4,53.1,66.7,4,6,15,3,10,1,49.2,60.7,1,39,0,0,138,17,95.7,132,93.1,32,25.8,5,155,63,3.7,9.1,1.17,0,9.4,9,66.1,33.3,1,3,6.8,3,24,1,71.6,74.8,4,51,0,0,243,41,96.7,235,74.9,62,50,2,503,241,5.9,12.3,2.14
