player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Terry McLaurin,48229,WR,WAS,6,11.1,2,72.1,55.6,5,9,0,0.0,0,18,32,0,88.0,76.6,72.0,,71.4,0.0,0,0,32,0.0,0,238,0,31,92.4,220,18.5,44,103.1,43,1,81.5,194,342,96,3.1,11.0,1.55
Drake London,86519,WR,ATL,6,10.9,1,60.5,53.3,8,15,0,3.7,1,18,2,0,74.9,75.9,76.6,,75.5,0.0,0,2,32,0.0,0,221,1,26,94.1,208,19.5,43,80.5,43,2,80.5,178,329,72,2.8,12.7,1.58
Sam LaPorta,101690,TE,DET,6,7.3,4,69.0,66.7,6,9,0,9.4,3,16,11,0,57.0,76.7,75.0,77.8,72.9,50.0,97,0,45,10.3,20,194,0,29,86.6,168,23.7,46,115.7,42,3,26.3,51,325,141,4.9,11.2,1.93
Nico Collins,61441,WR,HST,6,11.9,11,69.0,66.7,2,3,0,3.3,1,22,13,0,77.3,76.5,88.8,,87.3,0.0,0,0,52,0.0,0,192,0,29,94.8,182,18.8,36,135.5,42,3,81.3,156,547,246,8.5,18.9,3.01
Evan Engram,11778,TE,JAX,6,4.1,6,85.7,75.0,3,4,0,2.7,1,13,15,1,80.8,28.9,70.0,60.9,70.1,23.2,53,0,28,1.8,4,228,0,36,92.1,210,48.7,111,96.5,42,0,27.2,62,301,198,5.5,8.4,1.43
DJ Moore,48267,WR,CHI,6,14.4,7,78.0,69.2,9,13,0,3.0,1,24,6,0,78.4,76.8,88.3,,87.5,0.0,0,1,58,0.0,0,217,0,32,97.2,211,16.6,36,148.2,41,5,83.4,181,582,244,7.6,18.2,2.76
Tutu Atwell,77965,WR,LA,6,11.9,0,62.5,50.0,3,6,0,3.8,1,18,26,0,74.9,76.6,70.6,,69.1,0.0,0,1,44,0.0,0,243,0,25,95.9,233,46.1,112,92.6,40,2,53.9,131,309,74,3.0,12.4,1.33
Robert Woods,7822,WR,HST,6,10.2,1,55.0,41.7,5,12,1,15.4,4,15,13,0,40.2,79.8,63.7,36.3,63.5,0.5,1,0,25,0.5,1,198,1,22,93.9,186,48.5,96,79.9,40,1,48.0,95,227,59,2.7,10.3,1.22
Darren Waller,9637,TE,NYG,6,8.0,1,70.0,33.3,4,12,0,0.0,0,14,21,0,86.9,76.1,67.4,58.7,69.9,28.9,70,2,25,7.4,18,242,0,28,87.6,212,50.0,121,68.9,40,0,20.2,49,281,113,4.0,10.0,1.33
Mike Evans,8642,WR,TB,5,13.8,2,61.5,53.8,7,13,0,11.1,3,15,30,0,51.6,75.3,74.3,,76.1,0.0,0,1,70,0.0,0,144,2,24,95.1,137,25.7,37,109.6,39,3,74.3,107,386,111,4.6,16.1,2.82
